_id,user_id,study_start_time,study_end_time,__v
65ed97a1b6ec4550d193159d,HP1,2024-03-10 11:02:30.000,2024-03-10 11:21:05.897,0
65ed9d71db0fdc3e4460d78a,HP2,2024-03-10 11:28:24.000,2024-03-10 11:45:53.847,0
