_id,session_id,user_id,task_id,session_start_time,session_end_time,__v
65ed942bb6ec4550d1931565,acfc9aab-4689-42be-b36e-8a8e42d797fb,HP1,task1,2024-03-10 11:03:56.000,2024-03-10 11:06:19.366,0
65ed94f1b6ec4550d1931573,64ad6db3-e360-4d63-82e1-a8722b8e99d2,HP1,task2,2024-03-10 11:07:33.000,2024-03-10 11:09:37.490,0
65ed957bb6ec4550d193157b,bd189b9f-18da-448f-8cca-02ee19bf8761,HP1,task3,2024-03-10 11:10:52.000,2024-03-10 11:11:55.665,0
65ed970cb6ec4550d1931595,db1d406b-6953-4d92-ba49-8244f586a1f9,HP1,task4,2024-03-10 11:13:54.000,2024-03-10 11:18:36.895,0
65ed9a27db0fdc3e4460d750,f2e28367-0f4f-42be-8d6f-71afa9f77f28,HP2,task1,2024-03-10 11:29:41.000,2024-03-10 11:31:51.270,0
65ed9af7db0fdc3e4460d760,cb9dcc10-ec41-4f4a-8238-eb1356dfed18,HP2,task2,2024-03-10 11:33:06.000,2024-03-10 11:35:19.215,0
65ed9b7cdb0fdc3e4460d768,1650f09d-8ef5-4745-8e0c-f460b4fd432c,HP2,task3,2024-03-10 11:35:51.000,2024-03-10 11:37:32.202,0
65ed9caedb0fdc3e4460d782,dfc539c7-cf3d-4bee-92df-7a6e92e42074,HP2,task4,2024-03-10 11:39:28.000,2024-03-10 11:42:38.517,0
